,Sentences,Predicted Class,True Class,Probabilities
865,a birthday gift granddaughter loved it,positive,positive,"[0.018268419429659843, 0.06740091741085052, 0.9143306612968445]"
866,Pretty good album. This is a new listen for me but I'm definitely interested in hearing more stuff.,positive,neutral,"[0.0327383428812027, 0.41958168148994446, 0.5476799607276917]"
867,"thought it was well done. if you are into this type of move, it will be worth your time",positive,positive,"[0.04245128855109215, 0.3941865861415863, 0.5633621215820312]"
868,"Awesome game, classic performer with a good story.",positive,positive,"[0.013824542984366417, 0.06030269339680672, 0.9258727431297302]"
869,"Cute, but a one-trick pony.",neutral,neutral,"[0.07131633907556534, 0.8570461273193359, 0.0716375783085823]"
870,Works well as described.,positive,neutral,"[0.03028387762606144, 0.2769244909286499, 0.6927916407585144]"
871,Could not watch. Audio problems--track cuttin in and out continuously.,negative,negative,"[0.899080753326416, 0.08699975162744522, 0.013919458724558353]"
872,cd was scratched,negative,negative,"[0.8297468423843384, 0.15209458768367767, 0.018158530816435814]"
873,Disappointed listened to it and gave it away to the library,negative,negative,"[0.7736944556236267, 0.20396549999713898, 0.0223400816321373]"
874,It was scratched when I got it and kept freezing and playing in different spots,negative,negative,"[0.7258515357971191, 0.24966922402381897, 0.02447930909693241]"
875,"Good game, too short and too much money. I would like to see the cost go down in the near future.",neutral,neutral,"[0.3311198651790619, 0.6385922431945801, 0.03028787486255169]"
876,I downloaded it just to have a new app and I like that its a fun game to play just to pass the time,positive,neutral,"[0.03125821799039841, 0.2758181095123291, 0.6929236650466919]"
877,on viewed 2 episodes so hard to review.,negative,neutral,"[0.49676868319511414, 0.4402603209018707, 0.06297098845243454]"
878,"Even though they don't have a bassist, I like them a lot.",neutral,positive,"[0.05801074206829071, 0.7258989214897156, 0.21609026193618774]"
879,"Strange writing style, uses modifiers in a way that makes for rough reading.",negative,negative,"[0.7407987713813782, 0.23947452008724213, 0.019726689904928207]"
880,was too wordy for me to really get into. story line was good though,neutral,neutral,"[0.1543024331331253, 0.8224383592605591, 0.023259228095412254]"
881,My son really enjoys this game.  You can upgrade your Iron Man suit and shoot lasers.,positive,positive,"[0.015921808779239655, 0.06397588551044464, 0.9201023578643799]"
882,As we go down the road we us the game to play cards it is ok to pass the time,neutral,neutral,"[0.08610494434833527, 0.8400546908378601, 0.07384036481380463]"
883,picture is misleading.,negative,negative,"[0.8990616798400879, 0.0842365249991417, 0.016701776534318924]"
884,David Baldacci is consistently good.  I enjoy the suspense!!!,positive,positive,"[0.021024011075496674, 0.14103509485721588, 0.8379409313201904]"
885,I am reading it now and like it.,positive,positive,"[0.03646155446767807, 0.2242238074541092, 0.7393146753311157]"
886,It.wouldn't download<br />GRRRRRRR4,negative,negative,"[0.8621889352798462, 0.10940366983413696, 0.02840733528137207]"
887,Do not use it is not up to date,negative,negative,"[0.9077731966972351, 0.06964867562055588, 0.02257811278104782]"
888,"Downton Abbey is a great saga, beautifully written and acted.",positive,positive,"[0.017161132767796516, 0.05048392713069916, 0.9323549270629883]"
889,Arrived quickly. Book has less pages than I thought. Interesting book though.,neutral,positive,"[0.05116540566086769, 0.8802403807640076, 0.06859414279460907]"
890,Works only on open WiFi networks; still struggling to setup,negative,negative,"[0.783633291721344, 0.19830550253391266, 0.018061170354485512]"
891,Quits at times,negative,neutral,"[0.642458975315094, 0.3302106559276581, 0.02733033522963524]"
892,It's a good game you should give it a Rey I play everyday or when I get a chance type type ty.,positive,positive,"[0.024633511900901794, 0.2514092028141022, 0.723957359790802]"
893,I like this one.  It is a little hard for me to see but I enjoy it anyway.,neutral,positive,"[0.03546413034200668, 0.52981036901474, 0.43472549319267273]"
894,fantastic movie - both my 7 year old and I loved it. Great messages and story.,positive,positive,"[0.01406742911785841, 0.041638169437646866, 0.9442943930625916]"
895,Great read.  Many truths about motherhood and marriage so well described.,positive,positive,"[0.014595329761505127, 0.04768826812505722, 0.9377163648605347]"
896,Not my type,negative,negative,"[0.6558231711387634, 0.3237418234348297, 0.02043500728905201]"
897,This is the best CD set for Bob Marley out there. The first CD rocks!,positive,positive,"[0.02471351996064186, 0.05594673007726669, 0.9193398356437683]"
898,FRIGHTENING POSSIBILITIES OF THE MERGER OF NANO-SCIENCE AND HUMAN NATURE.,negative,neutral,"[0.45829519629478455, 0.3109798729419708, 0.23072491586208344]"
899,It's a good game but no customer service support lol,neutral,neutral,"[0.16976334154605865, 0.7974776029586792, 0.03275901824235916]"
900,A fan of Disney!  Excellent quality!,positive,positive,"[0.013943878002464771, 0.03766034170985222, 0.9483957886695862]"
901,Entertaining for free. I wouldn't pay for it on purpose.,neutral,neutral,"[0.11555274575948715, 0.5868380069732666, 0.29760926961898804]"
902,Unaware I used thins,negative,negative,"[0.8317838907241821, 0.1417207270860672, 0.02649534121155739]"
903,Takes forever to load. Then over in seconds. Then it wants you to buy stuff. It's not worth the wait,negative,negative,"[0.8487739562988281, 0.13632965087890625, 0.01489634532481432]"
904,this app is very fun I just wish their would be more levels for free but the game is very fun,positive,neutral,"[0.023933948948979378, 0.14022816717624664, 0.8358379006385803]"
905,I have a son with autism. It was a great experience to see what autism looks like in movie form.,positive,positive,"[0.023076770827174187, 0.11105674505233765, 0.865866482257843]"
906,A classic!.  Shipped promptly.  A+,positive,positive,"[0.03142581135034561, 0.08905713260173798, 0.8795170783996582]"
907,"Intelligent, casting is brilliant; not just another cop show.",positive,positive,"[0.024125104770064354, 0.20060008764266968, 0.7752747535705566]"
908,I couldn't get into it,negative,negative,"[0.8549203872680664, 0.11758260428905487, 0.027497073635458946]"
909,I love it.  It works great and it is easy to use.,positive,positive,"[0.016888828948140144, 0.05936737358570099, 0.9237437844276428]"
910,I am now dumber for watching this pure garbage.,negative,negative,"[0.9090769290924072, 0.07270848006010056, 0.018214616924524307]"
911,Lame towards the end.,negative,neutral,"[0.5046541690826416, 0.47447776794433594, 0.020868118852376938]"
912,Not the best movie...,negative,negative,"[0.6748673319816589, 0.3048585057258606, 0.020274238660931587]"
913,I loved the development of the characters.,positive,positive,"[0.026611492037773132, 0.1634054332971573, 0.8099830150604248]"
914,Thoroughly enjoyable reading with well paced character development and a good story line.,positive,positive,"[0.01812187023460865, 0.10459765791893005, 0.8772805333137512]"
915,Am enjoying this book.,positive,neutral,"[0.02032569982111454, 0.09325388818979263, 0.8864204287528992]"
916,Entertaining. Good follow up to the first installment.,positive,positive,"[0.02690671570599079, 0.40422889590263367, 0.5688644051551819]"
917,Lots of fun. Some really make me think.,positive,positive,"[0.026260530576109886, 0.24069151282310486, 0.7330479621887207]"
918,What a weird book.  All of the characters were just strange.,negative,neutral,"[0.5158211588859558, 0.4408298432826996, 0.04334893077611923]"
919,Good but not as good as Jumanji,neutral,neutral,"[0.06697270274162292, 0.8768790364265442, 0.056148309260606766]"
920,Was a present for my husband and he loved it.,positive,positive,"[0.019569769501686096, 0.07519015669822693, 0.9052400588989258]"
921,Kik needs to be updated for all Amazon products!!!,negative,neutral,"[0.40807127952575684, 0.18863032758235931, 0.40329837799072266]"
922,I love this action figure!! Awsome,positive,positive,"[0.0195635873824358, 0.035563066601753235, 0.9448733329772949]"
923,Not nearly as good as the trailer made it out to be.,neutral,neutral,"[0.1918552964925766, 0.7829909324645996, 0.02515379711985588]"
924,Get lost in this game and I love the graphics,positive,positive,"[0.019494984298944473, 0.07541017979383469, 0.9050948023796082]"
925,"Not for teenagers. Married adults! Good history and good writing, but very explicit!",neutral,neutral,"[0.06773091852664948, 0.4785633087158203, 0.4537057876586914]"
926,With the new update of YouTube its not working. Please fix it I really like this app,negative,negative,"[0.9078699946403503, 0.07490207999944687, 0.01722787879407406]"
927,So far I think I like the gaame. The graphics are cool and no ads,neutral,positive,"[0.11880803853273392, 0.8181120753288269, 0.06307986378669739]"
928,burned copy.  movie plays fine.,negative,negative,"[0.6385706067085266, 0.3369859457015991, 0.024443451315164566]"
929,"Very good, easy reading,comical, and very similar to TV show",positive,neutral,"[0.0174602959305048, 0.0980614572763443, 0.8844782710075378]"
930,Salma Hayek is gold. She portrays Frida with such authenticity.,positive,positive,"[0.07059162855148315, 0.37516823410987854, 0.5542401671409607]"
931,Never appeared in my cloud.,negative,negative,"[0.7645720839500427, 0.205634206533432, 0.02979375422000885]"
932,if you've seen the cartoon don't ruin your memories with this movie,positive,negative,"[0.39114105701446533, 0.19251328706741333, 0.41634565591812134]"
933,But Jeff Goldblum is in it.,neutral,negative,"[0.20085307955741882, 0.6660672426223755, 0.13307970762252808]"
934,We didn't make it past the first 3 minutes.,negative,negative,"[0.7895219922065735, 0.19019217789173126, 0.020285846665501595]"
935,Incredible game.,positive,positive,"[0.015120311640202999, 0.04554913938045502, 0.9393305778503418]"
936,Fun and even looks yummy,positive,positive,"[0.026577485725283623, 0.21191909909248352, 0.7615034580230713]"
937,the app is fun but some of the games are really hard and it takes awhile to get a new game.,neutral,neutral,"[0.10957007855176926, 0.8247264623641968, 0.06570343673229218]"
938,I would have given more stars if the interior of the book wasn't randomly damaged.,neutral,neutral,"[0.22692307829856873, 0.655800461769104, 0.11727648228406906]"
939,I'm rather disappointed in it.  I guess I expected too much from the two major stars.,neutral,negative,"[0.2695966064929962, 0.7075292468070984, 0.02287420816719532]"
940,"Good acting, unrealistic and inaccurate portrayal of musicians and the jazz world.",negative,neutral,"[0.5475803017616272, 0.4008420407772064, 0.05157773196697235]"
941,Great movie to watch with your kids,positive,positive,"[0.014203695580363274, 0.04873400554060936, 0.9370623230934143]"
942,Wonderfully written but terribly depressing.  After I read it I felt like slitting my wrists.,neutral,negative,"[0.2824153006076813, 0.600502610206604, 0.11708199977874756]"
943,Bad Kung Fu movie.  the fight scenes were almost comical.  It was painful to watch.,negative,negative,"[0.8086750507354736, 0.1757083386182785, 0.015616584569215775]"
944,"This book kept me on the edge of my seat.  This girl was so well portrayed, I feltI knew her.",positive,positive,"[0.025346925482153893, 0.11596708744764328, 0.8586859703063965]"
945,Grandson's love the Stickman apps,positive,positive,"[0.027119284495711327, 0.081559918820858, 0.8913208246231079]"
946,It is a game of skill and challenge,positive,positive,"[0.049009375274181366, 0.28059837222099304, 0.6703922748565674]"
947,Runs a bit slow on the HDX but it's a beautiful game.,neutral,neutral,"[0.030363857746124268, 0.5362369418144226, 0.4333992302417755]"
948,I cant even start cuz adds keep popping up wtf man all these 5 star reviews for an ad filled bs game,negative,negative,"[0.6059294939041138, 0.24538150429725647, 0.14868901669979095]"
949,another lame book. not interesting at all.,negative,negative,"[0.8072999119758606, 0.17853295803070068, 0.01416712161153555]"
950,Great game and it's free,positive,positive,"[0.01422083005309105, 0.059589676558971405, 0.9261895418167114]"
951,Played only for a short time to show a friend.  Seemed ok.,neutral,neutral,"[0.1528342217206955, 0.8206868767738342, 0.026478929445147514]"
952,Smaller than it appears in pictures,negative,negative,"[0.5645268559455872, 0.39380666613578796, 0.04166651889681816]"
953,"I didn't enjoy it, I don't know why.",negative,neutral,"[0.8351079821586609, 0.14959955215454102, 0.015292502008378506]"
954,Great to see the original episodes.,positive,positive,"[0.020708709955215454, 0.14085383713245392, 0.8384374976158142]"
955,I used to play it on the family tablet and loved it. Great game!,positive,neutral,"[0.015995627269148827, 0.05045454204082489, 0.9335498213768005]"
956,Would not recommend this movie to anyone!,negative,negative,"[0.9092562198638916, 0.06409908086061478, 0.02664460428059101]"
957,"If you have nothing else to do, then...",negative,neutral,"[0.6048444509506226, 0.32187438011169434, 0.07328123599290848]"
958,Great service. Would highly recommend.,positive,positive,"[0.01795146055519581, 0.0739649087190628, 0.9080836772918701]"
959,"Excellent love story : nice memory of Mr.Gardner  , may he rest in peace !!",positive,negative,"[0.020659565925598145, 0.05327552556991577, 0.9260649085044861]"
960,Not his best ever....but entertaining,neutral,neutral,"[0.0724380612373352, 0.8732196092605591, 0.0543423555791378]"
961,It wasn't what I thought it was.,negative,negative,"[0.8213698267936707, 0.1593015342950821, 0.01932872273027897]"
962,The Sprint phone is easy to use and quite sturdy.,neutral,negative,"[0.05782334879040718, 0.5047775506973267, 0.4373991787433624]"
963,Who would not like Michael Buble -- Cd in great shape,positive,positive,"[0.12173295021057129, 0.2949064075946808, 0.5833606123924255]"
964,It tells me what I need to know at a glance.  I need to know weather every day. so it's important,positive,neutral,"[0.0518447607755661, 0.4381144642829895, 0.5100407600402832]"
965,"very hard to setup and use sometimes it works sometime it won,t",neutral,negative,"[0.29762953519821167, 0.6660631895065308, 0.03630737215280533]"
966,It had a short in the cord. i still need a charger,neutral,negative,"[0.3667149543762207, 0.6026378870010376, 0.03064717724919319]"
967,This is a great addition to our Christmas music collection,positive,positive,"[0.01646859012544155, 0.04799489304423332, 0.9355365037918091]"
968,I love this book! It is one of the best I recently read!,positive,negative,"[0.01626342348754406, 0.035163652151823044, 0.9485729336738586]"
969,I like solitaire of any kind.,neutral,positive,"[0.05022779479622841, 0.5938767194747925, 0.355895459651947]"
970,Nothing worked unless you buy.,negative,negative,"[0.8399477601051331, 0.14545051753520966, 0.01460172701627016]"
971,"Other than looking at Scarlett, I did not like it at all.",negative,negative,"[0.7127249836921692, 0.2673279047012329, 0.019947033375501633]"
972,A truly great album!,positive,positive,"[0.01525191031396389, 0.035288289189338684, 0.9494597315788269]"
973,Very wel written.  I had trouble determining the meaning in the title.  I did enjoy it.,positive,positive,"[0.03972489386796951, 0.42609935998916626, 0.5341758131980896]"
974,Good basic solitare game.,positive,positive,"[0.030021177604794502, 0.43511369824409485, 0.5348650813102722]"
975,Full of violence and gore without any humanity as a counterpoint.,negative,negative,"[0.7514647841453552, 0.1665591448545456, 0.08197607100009918]"
976,I like all of Nicholas Sparks books.  I'm glad to hear Safe Haven will be a movie.  Should be good.,positive,positive,"[0.023090898990631104, 0.18078023195266724, 0.7961289286613464]"
977,Amazon streaming is unreliable at best. I will be using Netflix instead.,negative,negative,"[0.8270102143287659, 0.15684400498867035, 0.01614570990204811]"
978,"Its just not in the same league as the other films, including Temple of Doom.",neutral,neutral,"[0.3763806223869324, 0.6022714376449585, 0.021347926929593086]"
979,"Could be better. I have trouble seeing the entire screen, and sometimes the app won't open up ?",neutral,neutral,"[0.3425058424472809, 0.6230805516242981, 0.034413598477840424]"
980,Don't miss out on this one,positive,positive,"[0.08905763179063797, 0.29209572076797485, 0.6188467144966125]"
981,I can not really rate the movie.  The very poor streaming of it made it unbearable to watch.,negative,neutral,"[0.8914602398872375, 0.09380891174077988, 0.014730880968272686]"
982,A really nice and cute game,positive,positive,"[0.01840207166969776, 0.08045745640993118, 0.9011405110359192]"
983,Cult classic yea it's campy but that's what makes it,neutral,positive,"[0.05857326090335846, 0.6431059241294861, 0.29832080006599426]"
984,A Classic Movie and tale of the &#34;great soul&#34; of the first half of the twentieth century.,positive,positive,"[0.017704425379633904, 0.04997427761554718, 0.9323213696479797]"
985,This book wasn't what I expected from the best seller list. Good but not great.,neutral,neutral,"[0.15340951085090637, 0.8181632161140442, 0.028427252545952797]"
986,The seller was prompt and the item was in very good condition! - - - - - - - - -,positive,positive,"[0.08202613145112991, 0.30403321981430054, 0.6139405965805054]"
987,Had me on the edge of my seat the whole time<br />Could almost be better then sparks  love love love,positive,positive,"[0.04168073832988739, 0.08890034258365631, 0.8694189786911011]"
988,The action was good.,neutral,neutral,"[0.04170950874686241, 0.7679346799850464, 0.1903558373451233]"
989,One wrong move and your done. Not many options. Cute at first.,neutral,neutral,"[0.4233737289905548, 0.5488104224205017, 0.027815820649266243]"
990,It fell short for me.,neutral,neutral,"[0.3594382107257843, 0.6035544872283936, 0.03700736165046692]"
991,TRUE EXCELLENCE!,positive,positive,"[0.019066834822297096, 0.03755205497145653, 0.943381130695343]"
992,What else can I say... awesome movie.,positive,positive,"[0.017281686887145042, 0.04930390417575836, 0.9334143400192261]"
993,Was good but in new update the game doesn't work.,neutral,negative,"[0.28591758012771606, 0.6921578645706177, 0.021924549713730812]"
994,We'll written!  Characters seemed very real.  T could hardly put it down.,positive,positive,"[0.028323108330368996, 0.12158562242984772, 0.850091278553009]"
995,Great action movie done with humor.,positive,positive,"[0.015422726981341839, 0.06817013025283813, 0.9164071679115295]"
996,OK action movie.  A bit cheesy and cliche.,neutral,neutral,"[0.2632000148296356, 0.7108399271965027, 0.025960076600313187]"
997,IT'S CONFUSING.  NOT SURE WHAT DOES WHAT,negative,neutral,"[0.6784168481826782, 0.30373379588127136, 0.017849382013082504]"
998,An incredible accomplishment in avoiding narrative,positive,negative,"[0.019713720306754112, 0.06551910936832428, 0.9147671461105347]"
999,I am still reading it,neutral,negative,"[0.13295869529247284, 0.5677458047866821, 0.2992955446243286]"
1000,This game was way too difficult and frustrating. I installed before reaching 50 games.,negative,negative,"[0.7993647456169128, 0.18547827005386353, 0.015157035551965237]"
1001,"very good,it was hard to put down",positive,negative,"[0.030596964061260223, 0.2865650951862335, 0.6828379034996033]"
1002,"i like the actors in hannibal, but i wasn't crazy about the story. it was not bad, but not great.",neutral,neutral,"[0.04432424530386925, 0.8972365260124207, 0.0584392286837101]"
1003,Superb movie for action and comic fans! It doesn't get better than this!,positive,positive,"[0.01538747176527977, 0.050157323479652405, 0.9344552159309387]"
1004,"I didn't really like this, so I cancelled it.",negative,negative,"[0.8678449988365173, 0.11476467549800873, 0.017390334978699684]"
1005,Thoroughly enjoy while on my daily commute.,positive,positive,"[0.021976836025714874, 0.10097531229257584, 0.8770478367805481]"
1006,it's not free?,negative,negative,"[0.8734075427055359, 0.10822417587041855, 0.018368195742368698]"
1007,"Good story, looking for more.",neutral,negative,"[0.02968217059969902, 0.5156847238540649, 0.4546331763267517]"
1008,"This guy had no business on the ocean, one mistake after another.",negative,negative,"[0.8545337915420532, 0.12559668719768524, 0.019869495183229446]"
1009,Michael Bay to the core. Really ruined a legacy on this one.,negative,negative,"[0.8504824638366699, 0.11300941556692123, 0.03650807589292526]"
1010,"Meh, kind of a ridiculous story line.",negative,negative,"[0.8524318337440491, 0.1293778121471405, 0.01819026842713356]"
1011,Super Michael!  Love it!,positive,positive,"[0.019951190799474716, 0.03446627035737038, 0.9455825686454773]"
1012,This game will not ever load on my tablet.,negative,negative,"[0.9193830490112305, 0.06023801490664482, 0.020378941670060158]"
1013,"It came warped. Exchanged it, new one was warped even worse",negative,negative,"[0.8629323244094849, 0.11749447137117386, 0.01957317627966404]"
1014,Took too long for the story line to get interesting.,negative,neutral,"[0.5095164775848389, 0.47092875838279724, 0.019554799422621727]"
1015,The game is great and fun to play hope to play this one for awhile,positive,positive,"[0.015412519685924053, 0.07574334740638733, 0.9088441729545593]"
1016,Love it. The seller and the product highly recommeded.,positive,positive,"[0.016507035121321678, 0.045242950320243835, 0.9382500052452087]"
1017,"Slow beginning, but was very good by the end.",neutral,neutral,"[0.03853732720017433, 0.8865072727203369, 0.07495541870594025]"
1018,"weak, hard to follow",negative,negative,"[0.8299863934516907, 0.15013304352760315, 0.019880566745996475]"
1019,Fun at first but not much variety in the game...,neutral,neutral,"[0.07029397785663605, 0.884402871131897, 0.04530316963791847]"
1020,Intersting and looks well researched but somewhat long. I grade it 3.5/5,neutral,neutral,"[0.051284946501255035, 0.8727512359619141, 0.07596376538276672]"
1021,lots of fun for the kids,positive,positive,"[0.020742267370224, 0.12172968685626984, 0.8575280904769897]"
1022,Great product.  Amazing Price.  Win Win Win,positive,positive,"[0.014477738179266453, 0.03718335181474686, 0.9483389258384705]"
1023,"It's ok, haven't used it a lot",neutral,neutral,"[0.06937302649021149, 0.8774651288986206, 0.053161825984716415]"
1024,Not as much fun as greatgrandkids and I had hoped for.,neutral,negative,"[0.25067752599716187, 0.7256401777267456, 0.02368229441344738]"
1025,I did not like this book because it did not let you search a word or let you search anything,negative,negative,"[0.9008886218070984, 0.08246580511331558, 0.01664555072784424]"
1026,"slow and not believeable, poorly acted",negative,negative,"[0.8942230343818665, 0.09206504374742508, 0.013711908832192421]"
1027,"Initialization a bit tricky, but end result more than satisfactory.",neutral,neutral,"[0.08028627187013626, 0.8893107771873474, 0.03040293976664543]"
1028,Always read the book - before the movie comes out.,positive,positive,"[0.07707918435335159, 0.2934761643409729, 0.6294446587562561]"
1029,"My grandkids play it occasionally, but not one of their favorites.",neutral,neutral,"[0.06820182502269745, 0.8794611096382141, 0.052337005734443665]"
1030,I could barely care what happened to the characters. The plot was non existent.,negative,neutral,"[0.8464639782905579, 0.1392233520746231, 0.014312687329947948]"
1031,Great price. Came on time.,positive,positive,"[0.029392743483185768, 0.15742681920528412, 0.8131805062294006]"
1032,BOOKS IS LIKE A BUNCH OF SHORT STORIES SOME THAT HAVE NOTHING TO DO WITH THE OTHERS. DO NOT BUY.,negative,negative,"[0.8969993591308594, 0.08870508521795273, 0.014295605942606926]"
1033,Fun but trying.,neutral,positive,"[0.043989088386297226, 0.8633356690406799, 0.09267532080411911]"
1034,"Was a decent movie, I cried.  Would not be a movie for my children until they are older than 5.",neutral,neutral,"[0.4504967927932739, 0.5163004398345947, 0.033202819526195526]"
1035,didn't work for what I wanted to do with it,negative,negative,"[0.9018924236297607, 0.08372364193201065, 0.014383905567228794]"
1036,I downloaded but I never got. The game.,negative,negative,"[0.7480030655860901, 0.23161549866199493, 0.020381394773721695]"
1037,My grandson loves this movie! I love the message,positive,positive,"[0.015665512531995773, 0.03746567666530609, 0.9468687772750854]"
1038,"Difficult to understand at times, volume was up and down.",negative,neutral,"[0.6253924369812012, 0.35542428493499756, 0.019183354452252388]"
1039,"It is a depressing movie, but also a true story. I have read the book so I could follow along.",neutral,neutral,"[0.12431817501783371, 0.7414947152137756, 0.13418713212013245]"
1040,Intellectually good. Just like a bit of fun old school sci-fi.,neutral,neutral,"[0.029483726248145103, 0.5217369794845581, 0.44877931475639343]"
1041,It would not run for me.,negative,negative,"[0.6654990911483765, 0.25791630148887634, 0.07658462971448898]"
1042,Ok first of all you should get the full version. Second of all it is kind of fun 1 star worthy.,positive,negative,"[0.032990992069244385, 0.27586260437965393, 0.6911464333534241]"
1043,Cute. Some of the singing cut over and sounds a lil weird,neutral,neutral,"[0.13224497437477112, 0.8121100068092346, 0.05564501881599426]"
1044,"It was a good movie, I was expecting more from Seth but it was ok<br />Would not watch it again",neutral,neutral,"[0.15888985991477966, 0.8070733547210693, 0.03403683379292488]"
1045,Does not work with my phone.  Just crashes.,negative,negative,"[0.9229217171669006, 0.06059562787413597, 0.016482681035995483]"
1046,Best game ever get it now so much fun very addictive.,positive,positive,"[0.0140239791944623, 0.0403408445417881, 0.945635199546814]"
1047,I expected a lot more - weak plot and sophomoric.,negative,neutral,"[0.5218185782432556, 0.456730455160141, 0.02145097777247429]"
1048,Too much filth,negative,neutral,"[0.9050310850143433, 0.07916419208049774, 0.015804694965481758]"
1049,Nice graphics.but only gives you so much energy.,neutral,positive,"[0.03385300189256668, 0.5091515779495239, 0.45699551701545715]"
1050,DOES THIS GUY EVEN KNOW WHAT THE FUDGE HE IS TALKING ABOUT!,negative,negative,"[0.739600419998169, 0.11490140110254288, 0.1454981416463852]"
1051,But as you watch it gets better and if you are over 40 makes a lot of sense as far as life at 40,neutral,neutral,"[0.04899924248456955, 0.6661701798439026, 0.28483057022094727]"
1052,The most enjoyable TV series I've ever watched. I reccomend it heartily.,positive,positive,"[0.016502028331160545, 0.05029982700943947, 0.9331981539726257]"
1053,Absolutely awesome series !!!,positive,negative,"[0.018557079136371613, 0.03231982886791229, 0.9491230845451355]"
1054,"It wasn't very good, i was especting more",negative,neutral,"[0.7602419257164001, 0.22508007287979126, 0.014677963219583035]"
1055,Couldn't put it. down,negative,positive,"[0.8956134915351868, 0.08464547246694565, 0.01974101923406124]"
1056,Found it too negative for my tastes,negative,negative,"[0.8199024200439453, 0.16417177021503448, 0.015925751999020576]"
1057,Painful to watch.  Forced humor and dialogue.,negative,negative,"[0.8596848845481873, 0.12312639504671097, 0.017188740894198418]"
1058,The Story lines are more rediculous than a soap opera,neutral,neutral,"[0.17739371955394745, 0.7561335563659668, 0.06647275388240814]"
1059,Great product. Fast shipment,positive,positive,"[0.01604243367910385, 0.06023365259170532, 0.9237238764762878]"
1060,"The movie is funny and cute, it's not the best movie ever made, but it was okay. The music is good.",positive,neutral,"[0.029499368742108345, 0.4568723738193512, 0.5136283040046692]"
1061,Clever enough,neutral,neutral,"[0.0648132935166359, 0.5925197601318359, 0.34266698360443115]"
1062,Completely lost me here. Thank goodness for Season 3. Much better.,positive,negative,"[0.08591234683990479, 0.2913624048233032, 0.6227253079414368]"
1063,Breathtaking - so this is what it is like in space...,positive,positive,"[0.023157089948654175, 0.07235873490571976, 0.904484212398529]"
1064,The book was full of cliches and was poorly written. I'm not sure how I even finished the book.,negative,negative,"[0.883779764175415, 0.10211366415023804, 0.014106633141636848]"
1065,Will open one or 2 times then wont load at all. would love my money back. i dont see that tho,negative,negative,"[0.5440570712089539, 0.3748364746570587, 0.08110646903514862]"
1066,"I didn't realize it was a childs game, but its O K",neutral,neutral,"[0.3213198184967041, 0.6204593181610107, 0.058220840990543365]"
1067,"I tried it for a few minutes,not for me.",negative,neutral,"[0.5273100137710571, 0.4493330419063568, 0.023356955498456955]"
1068,Didn't keep my attention.  Probably a decent movie if I gave it a chance...,negative,negative,"[0.8156425356864929, 0.17128728330135345, 0.013070114888250828]"
1069,This is just amazballs,negative,positive,"[0.8228495717048645, 0.1297130286693573, 0.04743744060397148]"
1070,It's addicting and awesome with great graphics! :),positive,positive,"[0.018636751919984818, 0.05152449011802673, 0.9298387169837952]"
1071,Authentically terrifying!,positive,positive,"[0.027343997731804848, 0.04942670091986656, 0.9232292771339417]"
1072,It was An Interesting Story And Had A Great Twist At The End. But It Wasn't A Real Page Turner.,neutral,neutral,"[0.09472145885229111, 0.859931468963623, 0.04534710571169853]"
1073,Very touching movie!  My kids loved it and what a good message it has.,positive,positive,"[0.014538919553160667, 0.036826085299253464, 0.9486350417137146]"
1074,Farm Heroes freezes up unless I purchase coins what if I don't want to spend more money,negative,neutral,"[0.8634485602378845, 0.1121789738535881, 0.024372564628720284]"
1075,This book was long and drawn out. The only one worth reading was the first in the series. The end.,negative,negative,"[0.6869274973869324, 0.2763333320617676, 0.036739204078912735]"
1076,I thought it was NEVER going to end!!  (Apparently I downloaded the unabridged version.  Go me!),negative,negative,"[0.8417121171951294, 0.10888482630252838, 0.049403075128793716]"
1077,Item as described and shipped fast !!,positive,positive,"[0.03729959577322006, 0.08021977543830872, 0.8824806809425354]"
1078,I thought it was boring.  I deleted it from my Kindle.,negative,negative,"[0.9015482664108276, 0.08428991585969925, 0.014161793515086174]"
1079,I love its really fun like minecraft people with guns,positive,positive,"[0.01743021048605442, 0.07357757538557053, 0.9089921712875366]"
1080,We don't get the normal Reacher action or his &#34;one liners&#34; until 60% through the book.,negative,negative,"[0.6582880616188049, 0.3207884728908539, 0.020923567935824394]"
1081,It's okay but it's not as fun as hay day at least it doesn't freeze,neutral,neutral,"[0.14674700796604156, 0.8266906142234802, 0.026562314480543137]"
1082,"Everything was good, as advertised.  Great Movie!!",positive,positive,"[0.015383109450340271, 0.05942391976714134, 0.9251929521560669]"
1083,"Very nicely accomplished, twist in plot and all. Highly recommendable!",positive,positive,"[0.015822069719433784, 0.05781177058815956, 0.9263662099838257]"
1084,This is quite possibly the best long-running musical! This tape blew me away! :D,positive,positive,"[0.08909106254577637, 0.15429377555847168, 0.756615161895752]"
1085,This book was berry interesting.I loved it so much. It is one of the best books I have ever read.,positive,positive,"[0.01694638654589653, 0.06083468720316887, 0.9222188591957092]"
1086,Not McConaughey's best.,neutral,neutral,"[0.1837831288576126, 0.7795381546020508, 0.036678675562143326]"
1087,Nice movie.  Lots of action,positive,neutral,"[0.02746385708451271, 0.2807883024215698, 0.6917479038238525]"
1088,One of the best if not the best independent films of all time.,positive,positive,"[0.019750384613871574, 0.061267558485269547, 0.9189820885658264]"
